"",id,name,ingredients,alcoholic,category,glassType,instructions,drinkThumbnail,ingredientMeasures,text
92,92,Death in the Afternoon,"['Absinthe', 'Champagne']",Alcoholic,Cocktail,Margarita glass,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg,"['2 shots', 'Top']","question Generate a cocktail with Absinthe Champagne answer Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect."
93,93,Egg Cream,"['Chocolate syrup', 'Milk', 'Soda water']",Non alcoholic,Other / Unknown,Coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,"['2 tblsp ', '6 oz whole ', '6 oz ']","question Generate a cocktail with Chocolate syrup Milk Soda water answer Mix syrup and milk in a fountain glass. Add soda water, serve with a straw."
94,94,Egg Nog #4,"['Egg yolk', 'Sugar', 'Milk', 'Light rum', 'Bourbon', 'Vanilla extract', 'Salt', 'Whipping cream', 'Egg white', 'Sugar', 'Nutmeg']",Optional alcohol,Punch / Party Drink,Punch bowl,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",https://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg,"['6 ', '1/4 cup ', '2 cups ', '1/2 cup ', '1/2 cup ', '1 tsp ', '1/4 tsp ', '1 cup ', '6 ', '1/4 cup ', 'Ground ']","question Generate a cocktail with Egg yolk Sugar Milk Light rum Bourbon Vanilla extract Salt Whipping cream Egg white Sugar Nutmeg answer In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups."
95,95,English Highball,"['Brandy', 'Gin', 'Sweet Vermouth', 'Carbonated water', 'Lemon peel']",Alcoholic,Ordinary Drink,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,"['3/4 oz ', '3/4 oz ', '3/4 oz ', None, None]","question Generate a cocktail with Brandy Gin Sweet Vermouth Carbonated water Lemon peel answer Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"
96,96,Espresso Martini,"['Vodka', 'Kahlua', 'Sugar syrup']",Alcoholic,Cocktail,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,"['5 cl', '1 cl', '1 dash']","question Generate a cocktail with Vodka Kahlua Sugar syrup answer Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
97,97,Espresso Rumtini,"['Rum', 'Vanilla syrup', 'Espresso', 'Coffee']",Alcoholic,Cocktail,Cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg,"['1 shot', '1/2 shot', '1 shot', '1 shot']",question Generate a cocktail with Rum Vanilla syrup Espresso Coffee answer Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans
98,98,Egg Nog - Healthy,"['Egg', 'Sugar', 'Condensed milk', 'Milk', 'Vanilla extract', 'Rum', 'Nutmeg']",Optional alcohol,Punch / Party Drink,Collins Glass,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",https://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg,"['1/2 cup ', '3 tblsp ', '13 oz skimmed ', '3/4 cup skimmed ', '1 tsp ', '1 tsp ', '\n']","question Generate a cocktail with Egg Sugar Condensed milk Milk Vanilla extract Rum Nutmeg answer Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings."
99,99,English Rose Cocktail,"['Apricot brandy', 'Gin', 'Dry Vermouth', 'Grenadine', 'Lemon juice', 'Cherry']",Alcoholic,Ordinary Drink,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,"['3/4 oz ', '1 1/2 oz ', '3/4 oz ', '1 tsp ', '1/4 tsp ', '1 ']",question Generate a cocktail with Apricot brandy Gin Dry Vermouth Grenadine Lemon juice Cherry answer Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.
100,100,Elderflower Caipirinha,"['Cachaca', 'Lime', 'Elderflower cordial']",Alcoholic,Cocktail,Collins glass,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg,"['60 ml', '1', '3 cl']",question Generate a cocktail with Cachaca Lime Elderflower cordial answer Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!
101,101,Egg-Nog - Classic Cooked,"['Egg', 'Sugar', 'Salt', 'Milk', 'Vanilla extract']",Optional alcohol,Punch / Party Drink,Pitcher,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",https://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg,"['6 ', '1/4 cup ', '1/4 tsp ', '1 qt ', '1 tsp ']","question Generate a cocktail with Egg Sugar Salt Milk Vanilla extract answer In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately."
102,102,Empellón Cocina's Fat-Washed Mezcal,"['Mezcal', 'Chocolate liqueur', 'Coffee liqueur']",Alcoholic,Cocktail,Beer Glass,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.",https://www.thecocktaildb.com/images/media/drink/osgvxt1513595509.jpg,"['2 oz', '3/4 oz', '1/2 oz']","question Generate a cocktail with Mezcal Chocolate liqueur Coffee liqueur answer To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture."
103,103,Frosé,"['Rose', 'Sugar', 'Strawberries', 'Lemon Juice']",Alcoholic,Cocktail,Cocktail glass,"Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,"['750 ml', '1/2 cup', '8 oz', '2-3 oz']","question Generate a cocktail with Rose Sugar Strawberries Lemon Juice answer Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead."
104,104,Frappé,"['Coffee', 'Milk', 'Sugar']",Non alcoholic,Coffee / Tea,Highball Glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,"['1/2 cup black ', '1/2 cup ', '1-2 tsp ']","question Generate a cocktail with Coffee Milk Sugar answer Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing."
105,105,Foxy Lady,"['Amaretto', 'Creme de Cacao', 'Light cream']",Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,"['1/2 oz ', '1/2 oz ', '2 oz ']","question Generate a cocktail with Amaretto Creme de Cacao Light cream answer Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
106,106,French 75,"['Gin', 'Sugar', 'Lemon juice', 'Champagne', 'Orange', 'Maraschino cherry']",Alcoholic,Ordinary Drink,Collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg,"['1 1/2 oz ', '2 tsp superfine ', '1 1/2 oz ', '4 oz Chilled ', '1 ', '1 ']","question Generate a cocktail with Gin Sugar Lemon juice Champagne Orange Maraschino cherry answer Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
107,107,Figgy Thyme,"['Vodka', 'Honey', 'Figs', 'Thyme', 'Angostura Bitters', 'Tonic Water']",Alcoholic,Cocktail,Highball glass,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,"['2 oz', '1 tsp', '3', '1 Sprig', '2 dashes', 'Top']","question Generate a cocktail with Vodka Honey Figs Thyme Angostura Bitters Tonic Water answer In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme."
108,108,Frisco Sour,"['Blended whiskey', 'Benedictine', 'Lemon', 'Lime', 'Lemon', 'Lime']",Alcoholic,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg,"['2 oz ', '1/2 oz ', 'Juice of 1/4 ', 'Juice of 1/2 ', '1 slice ', '1 slice ']",question Generate a cocktail with Blended whiskey Benedictine Lemon Lime Lemon Lime answer Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.
109,109,Fruit Shake,"['Yoghurt', 'Banana', 'Orange juice', 'Fruit', 'Ice']",Non alcoholic,Other / Unknown,Highball Glass,Blend til smooth.,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,"['1 cup fruit ', '1 ', '4 oz frozen ', '1/2 piece textural ', '6 ']",question Generate a cocktail with Yoghurt Banana Orange juice Fruit Ice answer Blend til smooth.
110,110,Fruit Cooler,"['Apple juice', 'Strawberries', 'Sugar', 'Lemon', 'Apple', 'Soda water', 'Ice']",Non alcoholic,Other / Unknown,Highball Glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,"['1 can frozen ', '1 cup ', '2 tblsp ', '1 ', '1 ', '1 L ', None]","question Generate a cocktail with Apple juice Strawberries Sugar Lemon Apple Soda water Ice answer Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve."
111,111,Freddy Kruger,"['Jägermeister', 'Sambuca', 'Vodka']",Alcoholic,Shot,Shot glass,make it an ample size shot!!,https://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,"['1/2 oz ', '1/2 oz ', '1/2 oz ']",question Generate a cocktail with Jägermeister Sambuca Vodka answer make it an ample size shot!!
112,112,Funk and Soul,"['Rum', 'Apricot Nectar', 'Pomegranate juice', 'lemon', 'Soda Water']",Alcoholic,Cocktail,Collins glass,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg,"['2 shots', '1 shot', '1 shot', 'Juice of 1/2', 'Top']",question Generate a cocktail with Rum Apricot Nectar Pomegranate juice lemon Soda Water answer Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.
113,113,Fuzzy Asshole,"['Coffee', 'Peach schnapps']",Alcoholic,Coffee / Tea,Coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,"['1/2 ', '1/2 ']",question Generate a cocktail with Coffee Peach schnapps answer fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.
114,114,French Martini,"['Vodka', 'Raspberry Liqueur', 'pineapple juice']",Alcoholic,Cocktail,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,"['4.5 cl', '1.5 cl', '1.5 cl']",question Generate a cocktail with Vodka Raspberry Liqueur pineapple juice answer Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
115,115,French Negroni,"['Gin', 'Lillet', 'Sweet Vermouth', 'Orange Peel']",Alcoholic,Cocktail,Martini Glass,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,"['1 oz', '1 oz', '1 oz', '1']","question Generate a cocktail with Gin Lillet Sweet Vermouth Orange Peel answer Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
116,116,Fahrenheit 5000,"['Firewater', 'Absolut Peppar', 'Tabasco sauce']",Alcoholic,Shot,Shot glass,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,https://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,"['1/2 oz ', '1/2 oz ', '1 dash ']",question Generate a cocktail with Firewater Absolut Peppar Tabasco sauce answer Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.
117,117,Flying Dutchman,"['Gin', 'Triple sec']",Alcoholic,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",https://www.thecocktaildb.com/images/media/drink/mwko4q1582482903.jpg,"['2 oz ', '1/2 oz ']","question Generate a cocktail with Gin Triple sec answer In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well."
118,118,Frozen Daiquiri,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Cherry', 'Ice']",Alcoholic,Ordinary Drink,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,"['1 1/2 oz ', '1 tblsp ', '1 1/2 oz ', '1 tsp ', '1 ', '1 cup crushed ']","question Generate a cocktail with Light rum Triple sec Lime juice Sugar Cherry Ice answer Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
119,119,Fruit Flip-Flop,"['Yoghurt', 'Fruit juice']",Non alcoholic,Other / Unknown,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg,"['1 cup ', '1 cup ']","question Generate a cocktail with Yoghurt Fruit juice answer Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
120,120,Flying Scotchman,"['Scotch', 'Sweet Vermouth', 'Bitters', 'Sugar syrup']",Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/q53l911582482518.jpg,"['1 oz ', '1 oz ', '1 dash ', '1/4 tsp ']","question Generate a cocktail with Scotch Sweet Vermouth Bitters Sugar syrup answer Shake all ingredients with ice, strain into a cocktail glass, and serve."
121,121,French Connection,"['Cognac', 'Amaretto']",Alcoholic,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg,"['1 1/2 oz ', '3/4 oz ']",question Generate a cocktail with Cognac Amaretto answer Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
122,122,Flaming Dr. Pepper,"['Amaretto', 'Vodka', '151 proof rum', 'Dr. Pepper', 'Beer']",Alcoholic,Shot,Collins Glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",https://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,"['1 oz ', '1 oz ', '1 oz Bacardi ', '1 oz ', '1 oz ']","question Generate a cocktail with Amaretto Vodka 151 proof rum Dr. Pepper Beer answer Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer"
123,123,Flaming Lamborghini,"['Kahlua', 'Sambuca', 'Blue Curacao', 'Baileys irish cream']",Alcoholic,Cocktail,Cocktail glass,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,"['1 oz ', '1 oz ', '1 oz ', '1 oz ']","question Generate a cocktail with Kahlua Sambuca Blue Curacao Baileys irish cream answer Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!"
124,124,Flander's Flake-Out,"['Sambuca', 'Sarsaparilla']",Alcoholic,Ordinary Drink,Collins Glass,Bang 'em both in.,https://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg,"['1/4 glass ', '3/4 glass ']",question Generate a cocktail with Sambuca Sarsaparilla answer Bang 'em both in.
125,125,Frozen Mint Daiquiri,"['Light rum', 'Lime juice', 'Mint', 'Sugar']",Alcoholic,Ordinary Drink,Old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,"['2 oz ', '1 tblsp ', '6 ', '1 tsp ']",question Generate a cocktail with Light rum Lime juice Mint Sugar answer Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
126,126,Frozen Pineapple Daiquiri,"['Light rum', 'Pineapple', 'Lime juice', 'Sugar']",Alcoholic,Ordinary Drink,Cocktail Glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg,"['1 1/2 oz ', '4 chunks ', '1 tblsp ', '1/2 tsp ']",question Generate a cocktail with Light rum Pineapple Lime juice Sugar answer Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.
127,127,GG,"['Galliano', 'Ginger ale', 'Ice']",Optional alcohol,Ordinary Drink,Collins Glass,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,https://www.thecocktaildb.com/images/media/drink/vyxwut1468875960.jpg,"['2 1/2 shots ', None, None]",question Generate a cocktail with Galliano Ginger ale Ice answer Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.
